,Correlation,P-Value
CAAS,-0.6043956043956044,0.02867270567140696
F,-0.16483516483516483,0.5904789886520052
GM,0.5274725274725275,0.06395489148355482
HMC,-0.7032967032967032,0.007318569842104322
NSANY,-0.46153846153846156,0.11237597055825145
POAHY,0.06043956043956044,0.8445023706449684
TM,0.8736263736263737,9.5288972903705e-05
