,Correlation,P-Value
CAAS,-0.5856442973164196,0.03546413707688078
F,-0.20442300944063702,0.5029077104533117
GM,0.5138199967021417,0.07246899411505413
HMC,-0.7513926833493686,0.0030644669316483727
NSANY,-0.5082950505010435,0.07612950715400085
POAHY,0.04972451580988469,0.8718435139500874
TM,0.8618916073713345,0.0001516772279247781
