Date,Open
01-06-1972,0
02-06-1972,2.153219938
05-06-1972,2.149164915
06-06-1972,2.149164915
07-06-1972,2.124835014
08-06-1972,2.112669945
09-06-1972,2.096448898
12-06-1972,2.084284067
13-06-1972,2.084284067
14-06-1972,2.108614922
15-06-1972,2.132945061
16-06-1972,2.124835014
19-06-1972,2.132945061
20-06-1972,2.120779991
21-06-1972,2.128890038
22-06-1972,2.104559898
23-06-1972,2.092394114
26-06-1972,2.092394114
27-06-1972,2.084284067
28-06-1972,2.100503922
29-06-1972,2.096448898
30-06-1972,2.076174021
03-07-1972,2.072118998
05-07-1972,2.064008951
06-07-1972,2.059953928
07-07-1972,2.076174021
10-07-1972,2.068063974
11-07-1972,2.043734074
12-07-1972,2.031569004
13-07-1972,2.015348911
14-07-1972,2.015348911
17-07-1972,2.011293888
18-07-1972,2.011293888
19-07-1972,2.031569004
20-07-1972,2.043734074
21-07-1972,2.015348911
24-07-1972,2.059953928
25-07-1972,2.100503922
26-07-1972,2.092394114
27-07-1972,2.084284067
28-07-1972,2.084284067
31-07-1972,2.096448898
01-08-1972,2.096448898
02-08-1972,2.096448898
03-08-1972,2.137000084
04-08-1972,2.161329985
07-08-1972,2.169440031
08-08-1972,2.173495054
09-08-1972,2.165385008
10-08-1972,2.132945061
11-08-1972,2.141055107
14-08-1972,2.161329985
15-08-1972,2.165385008
16-08-1972,2.141055107
17-08-1972,2.092394114
18-08-1972,2.128890038
21-08-1972,2.128890038
22-08-1972,2.153219938
23-08-1972,2.173495054
24-08-1972,2.254595995
25-08-1972,2.222155094
28-08-1972,2.193769932
29-08-1972,2.189714909
30-08-1972,2.157274961
31-08-1972,2.141055107
01-09-1972,2.185659885
05-09-1972,2.185659885
06-09-1972,2.157274961
07-09-1972,2.145109892
08-09-1972,2.149164915
11-09-1972,2.145109892
12-09-1972,2.141055107
13-09-1972,2.116724968
14-09-1972,2.128890038
15-09-1972,2.124835014
18-09-1972,2.124835014
19-09-1972,2.124835014
20-09-1972,2.116724968
21-09-1972,2.092394114
22-09-1972,2.051843882
25-09-1972,2.068063974
26-09-1972,2.072118998
27-09-1972,2.084284067
28-09-1972,2.116724968
29-09-1972,2.157274961
02-10-1972,2.161329985
03-10-1972,2.165385008
04-10-1972,2.132945061
05-10-1972,2.128890038
06-10-1972,2.116724968
09-10-1972,2.116724968
10-10-1972,2.132945061
11-10-1972,2.137000084
12-10-1972,2.128890038
13-10-1972,2.120779991
16-10-1972,2.084284067
17-10-1972,2.076174021
18-10-1972,2.068063974
19-10-1972,2.076174021
20-10-1972,2.068063974
23-10-1972,2.100503922
24-10-1972,2.108614922
25-10-1972,2.132945061
26-10-1972,2.124835014
27-10-1972,2.128890038
30-10-1972,2.149164915
31-10-1972,2.145109892
01-11-1972,2.161329985
02-11-1972,2.218100071
03-11-1972,2.274871111
06-11-1972,2.339751005
08-11-1972,2.360025883
09-11-1972,2.347861052
10-11-1972,2.396522045
13-11-1972,2.428961992
14-11-1972,2.404632092
15-11-1972,2.445182085
16-11-1972,2.428961992
17-11-1972,2.465456963
20-11-1972,2.526282072
21-11-1972,2.534392118
22-11-1972,2.55466795
24-11-1972,2.538448095
27-11-1972,2.501951933
28-11-1972,2.473567009
29-11-1972,2.433017015
30-11-1972,2.416796923
01-12-1972,2.445182085
04-12-1972,2.465456963
05-12-1972,2.469511986
06-12-1972,2.522227049
07-12-1972,2.526282072
08-12-1972,2.534392118
11-12-1972,2.514117002
12-12-1972,2.538448095
13-12-1972,2.518172026
14-12-1972,2.514117002
15-12-1972,2.522227049
18-12-1972,2.449237108
19-12-1972,2.396522045
20-12-1972,2.412741899
21-12-1972,2.404632092
22-12-1972,2.408687115
26-12-1972,2.457346916
27-12-1972,2.506006956
29-12-1972,2.570888042
02-01-1973,2.583053112
03-01-1973,2.562777996
04-01-1973,2.534392118
